Time(s),HeartRate(1/min),TotalLungVolume(mL),RespirationRate(1/min),BloodVolume(mL)
6.38,72.013559,2762.273293,12.096774,5492.368526
6.40,72.013559,2760.844538,12.096774,5492.369549
6.42,72.013559,2759.165201,12.096774,5492.370586
6.44,72.013559,2757.235854,12.096774,5492.371637
6.46,72.013559,2755.057252,12.096774,5492.372669
6.48,72.013559,2752.630327,12.096774,5492.373656
6.50,72.013559,2749.956197,12.096774,5492.374582
6.52,72.013559,2747.036157,12.096774,5492.375443
6.54,72.013559,2743.871687,12.096774,5492.376240
6.56,72.013559,2740.464446,12.096774,5492.376982
6.58,72.013559,2736.816274,12.096774,5492.377676
6.60,72.013559,2732.929192,12.096774,5492.378332
6.62,72.013559,2728.805399,12.096774,5492.378958
6.64,72.013559,2724.447273,12.096774,5492.379563
6.66,72.013559,2719.857370,12.096774,5492.380152
6.68,72.013559,2715.038420,12.096774,5492.380732
6.70,72.013559,2709.993328,12.096774,5492.381307
6.72,72.013559,2704.725173,12.096774,5492.381880
6.74,72.013559,2699.237204,12.096774,5492.382457
6.76,72.013559,2693.532838,12.096774,5492.383045
6.78,72.013559,2687.615660,12.096774,5492.383652
6.80,72.013559,2681.489418,12.096774,5492.384280
6.82,72.013559,2675.158022,12.096774,5492.384928
6.84,72.013559,2668.625540,12.096774,5492.385597
6.86,72.013559,2661.896197,12.096774,5492.386286
6.88,72.013559,2654.974368,12.096774,5492.386995
6.90,72.013559,2647.864578,12.096774,5492.387724
6.92,72.013559,2640.571496,12.096774,5492.388473
6.94,72.013559,2633.099934,12.096774,5492.389242
6.96,72.013559,2625.454838,12.096774,5492.390030
6.98,72.013559,2617.641288,12.096774,5492.390836
7.00,72.013559,2609.664492,12.096774,5492.391661
7.02,72.013559,2601.529778,12.096774,5492.392505
7.04,72.013559,2593.242596,12.096774,5492.393366
7.06,72.013559,2584.808506,12.096774,5492.394244
7.08,72.013559,2576.233174,12.096774,5492.395140
7.10,72.013559,2567.522368,12.096774,5492.396053
7.12,72.013559,2558.681953,12.096774,5492.396982
7.14,72.013559,2549.717879,12.096774,5492.397928
7.16,72.013559,2540.636181,12.096774,5492.398890
7.18,72.013559,2531.442969,12.096774,5492.399867
7.20,72.013559,2522.144422,12.096774,5492.400860
7.22,72.014803,2512.746782,12.096774,5492.401868
7.24,72.014803,2503.256345,12.096774,5492.402891
7.26,72.014803,2493.679453,12.096774,5492.403928
7.28,72.014803,2484.022490,12.096774,5492.404979
7.30,72.014803,2474.291872,12.096774,5492.406011
7.32,72.014803,2464.494039,12.096774,5492.406998
7.34,72.014803,2454.635448,12.096774,5492.407924
7.36,72.014803,2444.722564,12.096774,5492.408785
7.38,72.014803,2434.761853,12.096774,5492.409582
7.40,72.014803,2424.759775,12.096774,5492.410324
7.42,72.014803,2414.722772,12.096774,5492.411018
7.44,72.014803,2404.657265,12.096774,5492.411674
7.46,72.014803,2394.569640,12.096774,5492.412300
7.48,72.014803,2384.466246,12.096774,5492.412905
7.50,72.014803,2374.353383,12.096774,5492.413494
7.52,72.014803,2364.237295,12.096774,5492.414074
7.54,72.014803,2354.124162,12.096774,5492.414649
7.56,72.014803,2344.020093,12.096774,5492.415222
7.58,72.014803,2333.931118,12.096774,5492.415799
7.60,72.014803,2323.863180,12.096774,5492.416387
7.62,72.014803,2313.822130,12.096774,5492.416994
7.64,72.014803,2303.813715,12.096774,5492.417622
7.66,72.014803,2294.455334,12.096774,5492.418270
7.68,72.014803,2286.466051,12.096774,5492.418939
7.70,72.014803,2279.670829,12.096774,5492.419628
7.72,72.014803,2273.906704,12.096774,5492.420337
7.74,72.014803,2269.026959,12.096774,5492.421066
7.76,72.014803,2264.902167,12.096774,5492.421815
7.78,72.014803,2261.419635,12.096774,5492.422584
7.80,72.014803,2258.482097,12.096774,5492.423372
7.82,72.014803,2256.006120,12.096774,5492.424178
7.84,72.014803,2253.920449,12.096774,5492.425003
7.86,72.014803,2252.164435,12.096774,5492.425847
7.88,72.014803,2250.686583,12.096774,5492.426708
7.90,72.014803,2249.443255,12.096774,5492.427586
7.92,72.014803,2248.397533,12.096774,5492.428482
7.94,72.014803,2247.518222,12.096774,5492.429395
7.96,72.014803,2246.778987,12.096774,5492.430324
7.98,72.014803,2246.157618,12.096774,5492.431270
8.00,72.014803,2245.635396,12.096774,5492.432232
8.02,72.014803,2245.196553,12.096774,5492.433209
8.04,72.014803,2244.827812,12.096774,5492.434202
8.06,72.015850,2244.518002,12.096774,5492.435210
8.08,72.015850,2244.257723,12.096774,5492.436233
8.10,72.015850,2244.039069,12.096774,5492.437270
8.12,72.015850,2243.855391,12.096774,5492.438321
8.14,72.015850,2243.701102,12.096774,5492.439353
8.16,72.015850,2243.571505,12.096774,5492.440340
8.18,72.015850,2243.462649,12.096774,5492.441266
8.20,72.015850,2243.371219,12.096774,5492.442127
8.22,72.015850,2243.294426,12.096774,5492.442925
8.24,72.015850,2243.229929,12.096774,5492.443666
8.26,72.015850,2243.175759,12.096774,5492.444360
